category,protocol_name,num_forks,total_tvl,tvl_orig,tvl_forks,forks_names
Liquid Staking,Lockless Protocol,0,76079.37855486541,76079.37855486541,0,[]
Liquid Staking,Amulet Liquidity Staking,0,61312.670000000006,61312.670000000006,0,[]
Liquid Staking,STRX Finance,0,50148.21071542906,50148.21071542906,0,[]
Liquid Staking,zLot,0,39636.13697884768,39636.13697884768,0,[]
Liquid Staking,aSOL,0,13206.56924470103,13206.56924470103,0,[]
Liquid Staking,Revert V3 Staker,0,2702.8150961331776,2702.8150961331776,0,[]
Liquid Staking,MFIL Protocol,0,942.66172303095,942.66172303095,0,[]
Liquid Staking,Starfish Liquid Staking,0,424.88313555,424.88313555,0,[]
Liquid Staking,Genius,0,21.829406953060587,21.829406953060587,0,[]
Liquid Staking,Steak,0,4.78612047688849,4.78612047688849,0,[]
CDP,MakerDAO,2,6186370292.179621,6137787869.549984,48582422.629636765,"['Helio Protocol', 'Davos Protocol']"
